"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
28,"1","2025-01-06T23:11:23.563293Z",11,"/data/upload/5/2fadf682-image_10.jpg","[{""x"":10.43809523809524,""y"":12.53968253968254,""width"":77.85079365079365,""height"":73.65079365079364,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",4.874,"2025-01-06T23:11:23.563315Z"
29,"1","2025-01-06T23:11:30.929610Z",12,"/data/upload/5/524c9d99-image_12.jpg","[{""x"":10.220634920634922,""y"":10.952380952380953,""width"":79.5904761904762,""height"":74.60317460317461,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",5.586,"2025-01-06T23:11:30.929634Z"
30,"1","2025-01-06T23:11:44.263008Z",13,"/data/upload/5/908150ae-image_13.jpg","[{""x"":17.61428571428572,""y"":27.142857142857117,""width"":66.97777777777775,""height"":41.90476190476186,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":18.484126984126988,""y"":66.19047619047619,""width"":75.02380952380953,""height"":29.523809523809497,""rotation"":0,""rectanglelabels"":[""Şort""],""original_width"":300,""original_height"":411}]",25.406,"2025-01-06T23:18:28.479406Z"
31,"1","2025-01-06T23:11:58.382557Z",14,"/data/upload/5/1030172c-image_14.jpg","[{""x"":6.088888888888887,""y"":32.22222222222223,""width"":79.80793650793649,""height"":52.38095238095241,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",13.105,"2025-01-06T23:11:58.382575Z"
32,"1","2025-01-06T23:12:31.982179Z",15,"/data/upload/5/f57651a4-image_15.jpg","[{""x"":0,""y"":23.492063492063483,""width"":62.41111111111112,""height"":53.80952380952376,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",23.106,"2025-01-06T23:12:31.982201Z"
33,"1","2025-01-06T23:12:45.031494Z",16,"/data/upload/5/fc31f305-image_16.jpg","[{""x"":9.35079365079364,""y"":13.968253968253943,""width"":81.11269841269826,""height"":70.15873015873015,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",12.298,"2025-01-06T23:12:45.031511Z"
34,"1","2025-01-06T23:12:51.204833Z",17,"/data/upload/5/26d4cbe2-image_17.jpg","[{""x"":11.09047619047619,""y"":12.222222222222221,""width"":75.89365079365079,""height"":74.44444444444446,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",4.975,"2025-01-06T23:12:51.204848Z"
35,"1","2025-01-06T23:13:06.037488Z",18,"/data/upload/5/f3fc3735-image_18.jpg","[{""x"":10.43809523809524,""y"":23.17460317460317,""width"":76.11111111111111,""height"":70.3174603174603,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",13.344,"2025-01-06T23:13:06.037511Z"
36,"1","2025-01-06T23:13:18.122709Z",19,"/data/upload/5/588fdd61-image_19.jpg","[{""x"":20.65873015873016,""y"":27.936507936507933,""width"":58.27936507936511,""height"":33.8095238095238,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":22.180952380952387,""y"":61.5873015873016,""width"":55.23492063492063,""height"":38.41269841269834,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",20.231,"2025-01-06T23:18:11.764384Z"
37,"1","2025-01-06T23:13:52.729665Z",20,"/data/upload/5/27ace822-image_20.jpg","[{""x"":18.701587301587303,""y"":24.444444444444443,""width"":61.75873015873017,""height"":57.93650793650794,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":26.53015873015875,""y"":79.20634920634933,""width"":49.36349206349196,""height"":20.47619047619051,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",42.684,"2025-01-06T23:18:00.764296Z"
91,"1","2025-01-06T23:37:53.563937Z",21,"/data/upload/5/8456cc3d-image_21.jpg","[{""x"":11.960317460317455,""y"":31.26984126984122,""width"":65.45555555555559,""height"":35.23809523809543,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",37.628,"2025-01-06T23:37:53.563953Z"
38,"1","2025-01-06T23:14:49.513893Z",22,"/data/upload/5/454643d1-image_22.jpg","[{""x"":38.70793650793653,""y"":13.333333333333334,""width"":33.05396825396824,""height"":26.82539682539684,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":35.44603174603174,""y"":36.34920634920635,""width"":40.01269841269847,""height"":38.57142857142854,""rotation"":0,""rectanglelabels"":[""Etek""],""original_width"":300,""original_height"":411},{""x"":23.05079365079365,""y"":83.17460317460318,""width"":46.75396825396827,""height"":16.825396825396822,""rotation"":0,""rectanglelabels"":[""Ayakkabı""],""original_width"":300,""original_height"":411}]",65.50999999999999,"2025-01-06T23:17:50.821521Z"
39,"1","2025-01-06T23:14:54.154281Z",23,"/data/upload/5/6b36ca32-image_23.jpg","[{""x"":8.263492063492064,""y"":13.174603174603176,""width"":81.98253968253968,""height"":73.96825396825396,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",3.905,"2025-01-06T23:14:54.154300Z"
40,"1","2025-01-06T23:15:02.104418Z",24,"/data/upload/5/fc75240b-image_24.jpg","[{""x"":31.3142857142857,""y"":17.301587301587297,""width"":40.44761904761904,""height"":35.39682539682538,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",7.271,"2025-01-06T23:15:02.104437Z"
41,"1","2025-01-06T23:15:20.046876Z",25,"/data/upload/5/b131c0db-image_25.jpg","[{""x"":20.22380952380951,""y"":20.793650793650798,""width"":60.88888888888889,""height"":50.47619047619045,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":28.704761904761884,""y"":66.82539682539684,""width"":42.18730158730161,""height"":33.01587301587299,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",30.857,"2025-01-06T23:17:01.639516Z"
42,"1","2025-01-06T23:15:27.946048Z",26,"/data/upload/5/b93c8ce3-image_26.jpg","[{""x"":1.7396825396825397,""y"":46.507936507936506,""width"":98.26031746031738,""height"":53.4920634920634,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",6.867,"2025-01-06T23:15:27.946064Z"
43,"1","2025-01-06T23:16:39.633304Z",27,"/data/upload/5/0ee14f1f-image_27.jpg","[{""x"":20.441269841269857,""y"":23.49206349206348,""width"":59.36666666666667,""height"":50.158730158730094,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":15.43968253968254,""y"":0.15873015873015872,""width"":44.144444444444446,""height"":16.19047619047619,""rotation"":0,""rectanglelabels"":[""Şapka""],""original_width"":300,""original_height"":411},{""x"":11.307936507936518,""y"":71.42857142857146,""width"":55.01746031746033,""height"":28.571428571428537,""rotation"":0,""rectanglelabels"":[""Şort""],""original_width"":300,""original_height"":411}]",70.515,"2025-01-06T23:16:39.633321Z"
44,"1","2025-01-06T23:20:19.445949Z",28,"/data/upload/5/6429d1d6-image_28.jpg","[{""x"":31.096825396825395,""y"":74.12698412698413,""width"":43.05714285714288,""height"":25.87301587301589,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":21.31111111111108,""y"":24.4444444444444,""width"":57.62698412698413,""height"":50.63492063492057,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",22.068,"2025-01-06T23:20:19.445963Z"
45,"1","2025-01-06T23:20:36.717577Z",29,"/data/upload/5/f3f72941-image_29.jpg","[{""x"":27.400000000000002,""y"":21.428571428571427,""width"":52.625396825396834,""height"":42.85714285714286,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":23.485714285714273,""y"":63.96825396825392,""width"":41.317460317460345,""height"":36.031746031745996,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",16.084,"2025-01-06T23:20:36.717598Z"
46,"1","2025-01-06T23:21:03.092423Z",30,"/data/upload/5/57401b67-image_30.jpg","[{""x"":20.006349206349224,""y"":23.968253968253933,""width"":61.106349206348966,""height"":48.41269841269824,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",25.303,"2025-01-06T23:21:03.092440Z"
47,"1","2025-01-06T23:21:08.157033Z",31,"/data/upload/5/5d44f969-image_31.jpg","[{""x"":7.828571428571429,""y"":13.492063492063492,""width"":81.54761904761907,""height"":72.38095238095238,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",4.29,"2025-01-06T23:21:08.157054Z"
48,"1","2025-01-06T23:23:57.054615Z",32,"/data/upload/5/3768bb27-image_32.jpg","[{""x"":9.350793650793651,""y"":25.873015873015877,""width"":76.54603174603182,""height"":58.571428571428676,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":11.525396825396825,""y"":83.4920634920635,""width"":70.23968253968253,""height"":16.19047619047612,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",167.883,"2025-01-06T23:23:57.054632Z"
49,"1","2025-01-06T23:24:11.766388Z",33,"/data/upload/5/72dde923-image_33.jpg","[{""x"":19.571428571428573,""y"":24.126984126984127,""width"":57.1920634920635,""height"":41.111111111111114,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":23.920634920634924,""y"":65.55555555555556,""width"":58.71428571428571,""height"":34.44444444444444,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",14.003,"2025-01-06T23:24:11.766409Z"
50,"1","2025-01-06T23:24:31.690114Z",34,"/data/upload/5/2e38f915-image_34.jpg","[{""x"":18.484126984126988,""y"":24.126984126984098,""width"":64.80317460317457,""height"":60.6349206349206,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",13.276,"2025-01-06T23:24:31.690133Z"
51,"1","2025-01-06T23:24:44.322952Z",35,"/data/upload/5/bff2f007-image_35.jpg","[{""x"":22.18095238095238,""y"":29.365079365079367,""width"":56.974603174603175,""height"":40.95238095238095,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":23.485714285714295,""y"":66.98412698412697,""width"":55.23492063492059,""height"":31.428571428571416,""rotation"":0,""rectanglelabels"":[""Şort""],""original_width"":300,""original_height"":411}]",11.913,"2025-01-06T23:24:44.322975Z"
52,"1","2025-01-06T23:25:06.243633Z",36,"/data/upload/5/933fc994-image_36.jpg","[{""x"":25.225396825396828,""y"":35.0793650793651,""width"":53.06031746031748,""height"":43.96825396825397,""rotation"":0,""rectanglelabels"":[""Etek""],""original_width"":300,""original_height"":411},{""x"":37.62063492063491,""y"":16.825396825396826,""width"":36.315873015873024,""height"":18.095238095238088,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":18.91904761904762,""y"":86.5079365079365,""width"":50.450793650793656,""height"":10.634920634920633,""rotation"":0,""rectanglelabels"":[""Ayakkabı""],""original_width"":300,""original_height"":411}]",20.799,"2025-01-06T23:25:06.243653Z"
53,"1","2025-01-06T23:25:35.935205Z",37,"/data/upload/5/a196cc1c-image_37.jpg","[{""x"":38.70793650793651,""y"":89.04761904761904,""width"":38.49047619047619,""height"":9.047619047619051,""rotation"":0,""rectanglelabels"":[""Ayakkabı""],""original_width"":300,""original_height"":411},{""x"":30.444444444444414,""y"":16.666666666666654,""width"":38.70793650793647,""height"":20.634920634920622,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":32.18412698412694,""y"":38.095238095238095,""width"":38.05555555555561,""height"":50.158730158730236,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",28.478,"2025-01-06T23:25:35.935222Z"
54,"1","2025-01-06T23:25:45.897424Z",38,"/data/upload/5/e2e0b6d5-image_38.jpg","[{""x"":0,""y"":47.77777777777775,""width"":99.99999999999999,""height"":52.222222222222136,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",8.825,"2025-01-06T23:25:45.897454Z"
55,"1","2025-01-06T23:26:42.582494Z",39,"/data/upload/5/8ee06c76-image_39.jpg","[{""x"":13.482539682539677,""y"":24.603174603174597,""width"":80.4603174603174,""height"":58.88888888888876,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":9.350793650793644,""y"":74.60317460317462,""width"":78.93809523809523,""height"":25.396825396825367,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",34.285,"2025-01-06T23:26:42.582513Z"
56,"1","2025-01-06T23:27:00.375132Z",40,"/data/upload/5/4391e669-image_40.jpg","[{""x"":16.092063492063495,""y"":22.53968253968254,""width"":71.9793650793651,""height"":53.650793650793645,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":19.35396825396825,""y"":74.12698412698404,""width"":58.27936507936503,""height"":25.87301587301585,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",16.869,"2025-01-06T23:27:00.375152Z"
57,"1","2025-01-06T23:27:11.372644Z",41,"/data/upload/5/6d4589b8-image_41.jpg","[{""x"":13.917460317460312,""y"":23.174603174603174,""width"":71.3269841269841,""height"":64.4444444444444,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",9.71,"2025-01-06T23:27:11.372661Z"
58,"1","2025-01-06T23:27:17.181765Z",42,"/data/upload/5/b9612663-image_42.jpg","[{""x"":8.480952380952383,""y"":10.476190476190476,""width"":84.37460317460317,""height"":75.07936507936508,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",4.437,"2025-01-06T23:27:17.181787Z"
59,"1","2025-01-06T23:27:35.951765Z",43,"/data/upload/5/9c23ef6a-image_43.jpg","[{""x"":10.65555555555556,""y"":21.269841269841265,""width"":82.6349206349206,""height"":62.698412698412554,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":25.877777777777784,""y"":80.31746031746017,""width"":56.32222222222219,""height"":19.365079365079353,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",17.713,"2025-01-06T23:27:35.951784Z"
60,"1","2025-01-06T23:28:13.103518Z",44,"/data/upload/5/349cadd7-image_44.jpg","[{""x"":0.6523809523809523,""y"":81.11111111111111,""width"":43.49206349206347,""height"":18.730158730158717,""rotation"":0,""rectanglelabels"":[""Ayakkabı""],""original_width"":300,""original_height"":411},{""x"":35.01111111111101,""y"":64.76190476190477,""width"":62.19365079365069,""height"":21.111111111111097,""rotation"":0,""rectanglelabels"":[""Şort""],""original_width"":300,""original_height"":411},{""x"":33.70634920634923,""y"":27.301587301587276,""width"":66.29365079365071,""height"":36.98412698412696,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",35.201,"2025-01-06T23:28:13.103537Z"
61,"1","2025-01-06T23:28:21.956487Z",45,"/data/upload/5/db601974-image_45.jpg","[{""x"":14.134920634920626,""y"":33.80952380952381,""width"":74.1539682539682,""height"":51.587301587301596,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",6.845,"2025-01-06T23:28:21.956504Z"
62,"1","2025-01-06T23:28:27.336267Z",46,"/data/upload/5/3895f788-image_46.jpg","[{""x"":10.873015873015873,""y"":8.571428571428571,""width"":78.28571428571429,""height"":78.73015873015873,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",4.413,"2025-01-06T23:28:27.336286Z"
63,"1","2025-01-06T23:28:52.440034Z",47,"/data/upload/5/80d11dd2-image_47.jpg","[{""x"":20.441269841269847,""y"":59.68253968253966,""width"":59.58412698412705,""height"":36.66666666666663,""rotation"":0,""rectanglelabels"":[""Şort""],""original_width"":300,""original_height"":411},{""x"":17.396825396825392,""y"":24.6031746031746,""width"":73.50158730158728,""height"":38.57142857142854,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",24.281,"2025-01-06T23:28:52.440063Z"
64,"1","2025-01-06T23:29:01.476357Z",48,"/data/upload/5/7684a181-image_48.jpg","[{""x"":12.39523809523809,""y"":11.904761904761903,""width"":74.80634920634918,""height"":75.55555555555557,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",7.689,"2025-01-06T23:29:01.476380Z"
65,"1","2025-01-06T23:29:06.534109Z",49,"/data/upload/5/dfe55805-image_49.jpg","[{""x"":10.873015873015873,""y"":10.317460317460316,""width"":75.67619047619048,""height"":74.92063492063492,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",3.5,"2025-01-06T23:29:06.534133Z"
66,"1","2025-01-06T23:29:13.829362Z",50,"/data/upload/5/6b42e018-image_50.jpg","[{""x"":4.349206349206349,""y"":6.190476190476191,""width"":92.2031746031746,""height"":85.71428571428567,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",6.381,"2025-01-06T23:29:13.829387Z"
67,"1","2025-01-06T23:29:21.904794Z",51,"/data/upload/5/3bbfafd7-image_51.jpg","[{""x"":15.657142857142858,""y"":28.730158730158728,""width"":66.10793650793651,""height"":65.55555555555554,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",7.255,"2025-01-06T23:29:21.904812Z"
68,"1","2025-01-06T23:29:28.391934Z",52,"/data/upload/5/ba01fbb6-image_52.jpg","[{""x"":23.05079365079365,""y"":27.77777777777778,""width"":57.62698412698413,""height"":64.28571428571428,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",5.47,"2025-01-06T23:29:28.391959Z"
69,"1","2025-01-06T23:29:47.386012Z",53,"/data/upload/5/5a65c99f-image_53.jpg","[{""x"":15.657142857142864,""y"":76.5079365079365,""width"":66.76031746031744,""height"":23.49206349206349,""rotation"":0,""rectanglelabels"":[""Ayakkabı""],""original_width"":300,""original_height"":411},{""x"":27.834920634920636,""y"":18.571428571428577,""width"":48.058730158730235,""height"":33.01587301587313,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",17.662,"2025-01-06T23:29:47.386029Z"
70,"1","2025-01-06T23:30:08.743131Z",55,"/data/upload/5/e092d49f-image_55.jpg","[{""x"":15.222222222222223,""y"":10.793650793650794,""width"":69.8047619047619,""height"":77.93650793650792,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",4.062,"2025-01-06T23:30:08.743151Z"
71,"1","2025-01-06T23:30:31.259618Z",56,"/data/upload/5/d4dd30e2-image_56.jpg","[{""x"":29.57460317460313,""y"":19.206349206349184,""width"":48.71111111111101,""height"":30.158730158730222,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":22.83333333333335,""y"":46.82539682539682,""width"":39.36031746031745,""height"":52.69841269841269,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",24.787,"2025-01-06T23:30:31.259629Z"
72,"1","2025-01-06T23:30:38.987710Z",57,"/data/upload/5/7e28a9a0-image_57.jpg","[{""x"":13.482539682539683,""y"":10.952380952380954,""width"":73.28412698412696,""height"":75.87301587301586,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",6.463,"2025-01-06T23:30:38.987723Z"
73,"1","2025-01-06T23:30:54.166021Z",58,"/data/upload/5/1948824e-image_58.jpg","[{""x"":28.704761904761895,""y"":53.65079365079364,""width"":41.317460317460316,""height"":46.34920634920633,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411},{""x"":25.66031746031746,""y"":21.428571428571423,""width"":45.44920634920633,""height"":32.22222222222218,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",14.403,"2025-01-06T23:30:54.166042Z"
74,"1","2025-01-06T23:31:11.154462Z",59,"/data/upload/5/0d93f749-image_59.jpg","[{""x"":13.917460317460318,""y"":11.587301587301587,""width"":71.76190476190476,""height"":74.60317460317461,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",3.003,"2025-01-06T23:31:11.154492Z"
75,"1","2025-01-06T23:32:39.689027Z",60,"/data/upload/5/ad01ff69-image_60.jpg","[{""x"":19.136507936507936,""y"":30,""width"":54.147619047619024,""height"":27.6190476190476,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":36.09841269841265,""y"":51.26984126984131,""width"":37.18571428571439,""height"":48.730158730158344,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411},{""x"":38.27301587301585,""y"":75.55555555555559,""width"":20.6587301587301,""height"":10.793650793650752,""rotation"":0,""rectanglelabels"":[""Ayakkabı""],""original_width"":300,""original_height"":411}]",87.296,"2025-01-06T23:32:39.689051Z"
76,"1","2025-01-06T23:33:05.910128Z",61,"/data/upload/5/c033b7b6-image_61.jpg","[{""x"":21.31111111111112,""y"":23.174603174603142,""width"":58.06190476190469,""height"":54.92063492063496,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":30.00952380952376,""y"":68.73015873015873,""width"":44.57936507936515,""height"":31.269841269841127,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411}]",25.44,"2025-01-06T23:33:05.910148Z"
77,"1","2025-01-06T23:33:15.526428Z",62,"/data/upload/5/310ce180-image_62.jpg","[{""x"":16.961904761904766,""y"":24.285714285714285,""width"":66.10793650793651,""height"":43.80952380952382,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",8.374,"2025-01-06T23:33:15.526446Z"
78,"1","2025-01-06T23:33:47.406381Z",63,"/data/upload/5/1247906e-image_63.jpg","[{""x"":23.920634920634924,""y"":15.238095238095239,""width"":47.406349206349205,""height"":35.71428571428571,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411},{""x"":31.7492063492063,""y"":43.968253968254,""width"":35.22857142857142,""height"":47.77777777777774,""rotation"":0,""rectanglelabels"":[""Pantolon""],""original_width"":300,""original_height"":411},{""x"":33.48888888888889,""y"":90.47619047619057,""width"":39.14285714285708,""height"":8.730158730158749,""rotation"":0,""rectanglelabels"":[""Ayakkabı""],""original_width"":300,""original_height"":411}]",30.855,"2025-01-06T23:33:47.406412Z"
79,"1","2025-01-06T23:34:57.683452Z",64,"/data/upload/5/9e4a3ad4-image_64.jpg","[{""x"":7.611111111111114,""y"":10.158730158730156,""width"":82.2,""height"":54.12698412698415,""rotation"":0,""rectanglelabels"":[""Tişört""],""original_width"":300,""original_height"":411}]",8.433,"2025-01-06T23:34:57.683471Z"
